disciplina_id;gran_area_codigo;gran_area_descripcion;area_codigo;area_descripcion;disciplina_codigo;disciplina_descripcion
134;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.14;Odontología, Medicina y Cirugía Oral
135;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.15;Dermatología y Enfermedades Venéreas
136;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.16;Alergias
137;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.17;Reumatología
138;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.18;Endocrinología y Metabolismo (incluye diabetes y hormonas)
139;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.19;Gastroenterología y Hepatología
140;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.20;Urología y Nefrología
141;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.21;Oncología
142;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.22;Oftalmología
143;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.23;Otorrinolaringología
144;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.24;Psiquiatría
145;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.25;Neurología Clínica
146;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.26;Geriatría y Gerontología
147;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.27;Medicina General e Interna
148;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.28;Otros tipos de Medicina Clínica
149;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.29;Medicina Integral y Complementaria (Sistema de Prácticas Alternativas)
150;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.3;Ciencias de la Salud;3.3.0;SIN DATOS
151;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.3;Ciencias de la Salud;3.3.1;Ciencias y Servicios de Cuidado de la Salud (incluye administración de hospitales y financiamiento del cuidado de la salud)
152;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.3;Ciencias de la Salud;3.3.2;Políticas y Servicios de Salud
153;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.3;Ciencias de la Salud;3.3.3;Enfermería
154;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.3;Ciencias de la Salud;3.3.4;Nutrición, Dietética
155;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.3;Ciencias de la Salud;3.3.5;Salud Pública y Medioambiental
156;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.3;Ciencias de la Salud;3.3.6;Medicina Tropical
157;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.3;Ciencias de la Salud;3.3.7;Parasitología
158;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.3;Ciencias de la Salud;3.3.8;Enfermedades Infecciosas
159;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.3;Ciencias de la Salud;3.3.9;Epidemiología
160;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.3;Ciencias de la Salud;3.3.10;Salud Ocupacional
161;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.3;Ciencias de la Salud;3.3.11;Ciencias del Deporte
162;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.3;Ciencias de la Salud;3.3.12;Ciencias Biomédicas Sociales (Planificación Familiar, Salud Sexual, Psico-oncología, efectos políticos y sociales de la investigación biomédica)
163;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.3;Ciencias de la Salud;3.3.13;Ética Médica
164;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.3;Ciencias de la Salud;3.3.14;Drogadicción
165;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.4;Biotecnología de la Salud;3.4.0;SIN DATOS
166;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.4;Biotecnología de la Salud;3.4.1;Biotecnología relacionada con la Salud
167;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.4;Biotecnología de la Salud;3.4.2;Tecnologías que involucran la manipulación de células, tejidos, órganos o todo el organismo (reproducción asistida)
168;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.4;Biotecnología de la Salud;3.4.3;Tecnologías que involucran la identificación de ADN, proteínas y enzimas, y cómo influyen en el conjunto de enfermedades y mantenimiento del bienestar
169;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.4;Biotecnología de la Salud;3.4.4;Biomateriales (los relacionados con implantes, aparatos y sensores médicos)
170;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.4;Biotecnología de la Salud;3.4.5;Ética relacionada con Biotecnología Médica
171;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.5;Otras Ciencias Médicas;3.5.0;SIN DATOS
172;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.5;Otras Ciencias Médicas;3.5.1;Medicina Forense
173;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.5;Otras Ciencias Médicas;3.5.2;Otras Ciencias Médicas
174;4;CIENCIAS AGRÍCOLAS;4.0;SIN DATOS;4.0.0;SIN DATOS
175;4;CIENCIAS AGRÍCOLAS;4.1;Agricultura, Silvicultura y Pesca;4.1.0;SIN DATOS
176;4;CIENCIAS AGRÍCOLAS;4.1;Agricultura, Silvicultura y Pesca;4.1.1;Agricultura
177;4;CIENCIAS AGRÍCOLAS;4.1;Agricultura, Silvicultura y Pesca;4.1.2;Silvicultura
178;4;CIENCIAS AGRÍCOLAS;4.1;Agricultura, Silvicultura y Pesca;4.1.3;Pesca
179;4;CIENCIAS AGRÍCOLAS;4.1;Agricultura, Silvicultura y Pesca;4.1.4;Ciencias del Suelo
180;4;CIENCIAS AGRÍCOLAS;4.1;Agricultura, Silvicultura y Pesca;4.1.5;Horticultura, Viticultura
181;4;CIENCIAS AGRÍCOLAS;4.1;Agricultura, Silvicultura y Pesca;4.1.6;"Agronomía, reproducción y protección de plantas (la agricultura biotecnológica va en 4.4 ""Biotecnología Agropecuaria"")"
182;4;CIENCIAS AGRÍCOLAS;4.2;Producción Animal y Lechería;4.2.0;SIN DATOS
183;4;CIENCIAS AGRÍCOLAS;4.2;Producción Animal y Lechería;4.2.1;"Producción Animal y Lechería (la biotecnología animal va en 4.4 ""Biotecnología Agropecuaria"")"
184;4;CIENCIAS AGRÍCOLAS;4.2;Producción Animal y Lechería;4.2.2;Ganadería
185;4;CIENCIAS AGRÍCOLAS;4.2;Producción Animal y Lechería;4.2.3;Mascotas
186;4;CIENCIAS AGRÍCOLAS;4.3;Ciencias Veterinarias;4.3.0;SIN DATOS
187;4;CIENCIAS AGRÍCOLAS;4.4;Biotecnología Agropecuaria;4.4.0;SIN DATOS
188;4;CIENCIAS AGRÍCOLAS;4.4;Biotecnología Agropecuaria;4.4.1;Biotecnología Agrícola y Biotecnología Alimentaria
189;4;CIENCIAS AGRÍCOLAS;4.4;Biotecnología Agropecuaria;4.4.2;Tecnología GM, clonación de ganado, selección asistida, diagnósticos, tecnología de producción de biomasa, etc.
190;4;CIENCIAS AGRÍCOLAS;4.4;Biotecnología Agropecuaria;4.4.3;Ética relacionada con Biotecnología Agrícola
191;4;CIENCIAS AGRÍCOLAS;4.5;Otras Ciencias Agrícolas;4.5.0;SIN DATOS
192;5;CIENCIAS SOCIALES;5.0;SIN DATOS;5.0.0;SIN DATOS
193;5;CIENCIAS SOCIALES;5.1;Psicología;5.1.0;SIN DATOS
194;5;CIENCIAS SOCIALES;5.1;Psicología;5.1.1;Psicología (incluye relación hombre-maquina)
195;5;CIENCIAS SOCIALES;5.1;Psicología;5.1.2;Psicología especial (incluye terapia para el aprendizaje, habla, audición, visión y otras discapacidades físicas y mentales)
196;5;CIENCIAS SOCIALES;5.2;Economía y Negocios;5.2.0;SIN DATOS
197;5;CIENCIAS SOCIALES;5.2;Economía y Negocios;5.2.1;Economía, Econometría
198;5;CIENCIAS SOCIALES;5.2;Economía y Negocios;5.2.2;Organización Industrial
199;5;CIENCIAS SOCIALES;5.2;Economía y Negocios;5.2.3;Negocios y Administración
200;5;CIENCIAS SOCIALES;5.3;Ciencias de la Educación;5.3.0;SIN DATOS
201;5;CIENCIAS SOCIALES;5.3;Ciencias de la Educación;5.3.1;Educación General (incluye capacitación, pedagogía y didáctica)
202;5;CIENCIAS SOCIALES;5.3;Ciencias de la Educación;5.3.2;Educación Especial (para personas con discapacidades de aprendizaje)
203;5;CIENCIAS SOCIALES;5.4;Sociología;5.4.0;SIN DATOS
204;5;CIENCIAS SOCIALES;5.4;Sociología;5.4.1;Sociología
205;5;CIENCIAS SOCIALES;5.4;Sociología;5.4.2;Demografía
