disciplina_id;gran_area_codigo;gran_area_descripcion;area_codigo;area_descripcion;disciplina_codigo;disciplina_descripcion
264;2;INGENIERÍAS Y TECNOLOGÍAS;2.6;Ingeniería Médica;2.6.3;Otras Ingeniería Médica
265;2;INGENIERÍAS Y TECNOLOGÍAS;2.7;Ingeniería del Medio Ambiente;2.7.7;Otras Ingeniería del Medio Ambiente
266;2;INGENIERÍAS Y TECNOLOGÍAS;2.8;Biotecnología del Medio Ambiente;2.8.4;Otras Biotecnología del Medio Ambiente
267;2;INGENIERÍAS Y TECNOLOGÍAS;2.9;Biotecnología Industrial;2.9.4;Otras Biotecnología Industrial
268;2;INGENIERÍAS Y TECNOLOGÍAS;2.10;Nanotecnología;2.10.3;Otras Nanotecnología
269;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.1;Medicina Básica;3.1.11;Otras Medicina Básica
270;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.30;Otras Medicina Clínica
271;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.3;Ciencias de la Salud;3.3.15;Otras Ciencias de la Salud
272;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.4;Biotecnología de la Salud;3.4.6;Otras Biotecnologías de la Salud
273;4;CIENCIAS AGRÍCOLAS;4.1;Agricultura, Silvicultura y Pesca;4.1.7;Otras Agricultura, Silvicultura y Pesca
274;4;CIENCIAS AGRÍCOLAS;4.2;Producción Animal y Lechería;4.2.4;Otras Producción Animal y Lechería
275;4;CIENCIAS AGRÍCOLAS;4.3;Ciencias Veterinarias;4.3.2;Otras Ciencias Veterinarias
276;4;CIENCIAS AGRÍCOLAS;4.4;Biotecnología Agropecuaria;4.4.4;Otras Biotecnología Agropecuaria
277;5;CIENCIAS SOCIALES;5.1;Psicología;5.1.3;Otras Psicología
278;5;CIENCIAS SOCIALES;5.2;Economía y Negocios;5.2.4;Otras Economía y Negocios
279;5;CIENCIAS SOCIALES;5.3;Ciencias de la Educación;5.3.3;Otras Ciencias de la Educación
280;5;CIENCIAS SOCIALES;5.4;Sociología;5.4.5;Otras Sociología
281;5;CIENCIAS SOCIALES;5.5;Derecho;5.5.2;Otras Derecho
282;5;CIENCIAS SOCIALES;5.6;Ciencia Política;5.6.4;Otras Ciencia Política
283;5;CIENCIAS SOCIALES;5.7;Geografía Económica y Social;5.7.5;Otras Geografía Económica y Social
284;5;CIENCIAS SOCIALES;5.8;Comunicación y Medios;5.8.5;Otras Comunicación y Medios
285;6;HUMANIDADES;6.1;Historia y Arqueología ;6.1.3;Otras Historia y Arqueología
286;6;HUMANIDADES;6.2;Lengua y Literatura;6.2.7;Otras Lengua y Literatura
287;6;HUMANIDADES;6.3;Filosofía, Ética y Religión;6.3.5;Otras Filosofía, Étnica y Religión
288;6;HUMANIDADES;6.4;Arte;6.4.6;Otras Artes
